7656,,,,
city,latitude,longitude,address,services
Atlanta Georgia 30320,33.63962,-84.442609,ATL - Atlanta BF-1  Gate B28,drive thru;24/7
Atlanta Georgia 30320,33.63962,-84.442609,ATL - Atlanta Conc E,drive thru;breakfast;cold brew
Atlanta Georgia 30320,33.63962,-84.442609,ATL - Atlanta DF-2  Gate D30,drive thru
Atlanta Georgia 30320,33.63962,-84.442609,ATL - Atlanta TF-3  Gate T12,cold brew
Atlanta Georgia 30320,33.63962,-84.442609,ATL - Atlanta Term 3 Simply Books,breakfast
Atlanta Georgia 30320,33.63962,-84.442609,ATL - Concourse A  Gate 2,24/7
Atlanta Georgia 30320,33.767229,-84.316173,ATL - Atlanta TF-10 at Gate T3,cold brew;breakfast;24/7
Atlanta Georgia 30320,33.774898,-84.343282,ATL - Concourse D  Gate 8,24/7;drive thru
Atlanta Georgia 30324,33.79683,-84.368759,Ansley Mall,cold brew;drive thru;breakfast
Atlanta Georgia 30324,33.82091,-84.356729,Kroger - Atlanta #298,24/7
Atlanta Georgia 30326,33.849698,-84.362756,Lenox Kiosk,drive thru;cold brew;24/7;breakfast
Atlanta Georgia 30326,33.852236,-84.364013,Lenox Rd.  Peachtree Rd. (Fed),cold brew;drive thru;breakfast;24/7
